
活动连接

  协议  本地地址          外部地址        状态           PID
  TCP    127.0.0.1:57096        127.0.0.1:57097        TIME_WAIT       0
  TCP    127.0.0.1:57097        127.0.0.1:57096        TIME_WAIT       0
  TCP    127.0.0.1:57100        127.0.0.1:57099        TIME_WAIT       0
  TCP    127.0.0.1:57101        127.0.0.1:57098        TIME_WAIT       0
  TCP    127.0.0.1:57103        127.0.0.1:57102        TIME_WAIT       0
  TCP    127.0.0.1:57105        127.0.0.1:57104        TIME_WAIT       0
  TCP    127.0.0.1:57107        127.0.0.1:57106        TIME_WAIT       0
  TCP    127.0.0.1:57109        127.0.0.1:57108        TIME_WAIT       0
  TCP    127.0.0.1:57114        127.0.0.1:57113        TIME_WAIT       0
  TCP    127.0.0.1:57117        127.0.0.1:57115        TIME_WAIT       0
  TCP    127.0.0.1:57118        127.0.0.1:57116        TIME_WAIT       0
  TCP    127.0.0.1:57120        127.0.0.1:57119        TIME_WAIT       0
  TCP    127.0.0.1:57124        127.0.0.1:57121        TIME_WAIT       0
  TCP    127.0.0.1:57125        127.0.0.1:57123        TIME_WAIT       0
  TCP    127.0.0.1:57126        127.0.0.1:57122        TIME_WAIT       0
  TCP    127.0.0.1:57130        127.0.0.1:57127        TIME_WAIT       0
  TCP    127.0.0.1:57131        127.0.0.1:57128        TIME_WAIT       0
  TCP    127.0.0.1:57132        127.0.0.1:57129        TIME_WAIT       0
  TCP    127.0.0.1:57134        127.0.0.1:57133        TIME_WAIT       0
  TCP    127.0.0.1:57136        127.0.0.1:57135        TIME_WAIT       0
  TCP    127.0.0.1:57138        127.0.0.1:57140        TIME_WAIT       0
  TCP    127.0.0.1:57140        127.0.0.1:57138        TIME_WAIT       0
  TCP    127.0.0.1:57141        127.0.0.1:57139        TIME_WAIT       0
  TCP    127.0.0.1:57142        127.0.0.1:57137        TIME_WAIT       0
  TCP    127.0.0.1:57145        127.0.0.1:57143        TIME_WAIT       0
  TCP    127.0.0.1:57147        127.0.0.1:57144        TIME_WAIT       0
  TCP    127.0.0.1:57148        127.0.0.1:57146        TIME_WAIT       0
  TCP    127.0.0.1:57150        127.0.0.1:57153        TIME_WAIT       0
  TCP    127.0.0.1:57151        127.0.0.1:57149        TIME_WAIT       0
  TCP    127.0.0.1:57152        127.0.0.1:57154        TIME_WAIT       0
  TCP    127.0.0.1:57153        127.0.0.1:57150        TIME_WAIT       0
